teamName,mds_score1,mds_score2,MDS_2cluster,MDS_3cluster,MDS_4cluster,MDS_5cluster,pca_score1,pca_score2,PCA_2cluster,PCA_3cluster,PCA_4cluster,PCA_5cluster,tsne_score1,tsne_score2,tSNE_2cluster,tSNE_3cluster,tSNE_3cluster,tSNE_4cluster,tSNE_5cluster
Troyes,0.8792648589439263,-2.1770707620691145,0,2,2,0,-1.8988852999790173,-1.6036869220326841,0,2,3,2,-76.24692,23.475166,0,1,1,0
Olympique Lyonnais,1.578615823259073,3.6768897918030623,1,1,1,1,3.8202468360195647,0.25501528572286347,1,1,2,0,98.73567,53.378525,1,2,3,1
PSG,3.394183835246559,3.7809043085371243,1,1,1,4,5.850018369124893,-1.244419758091158,1,1,2,4,89.480064,68.211494,1,2,3,1
Olympique Marseille,0.3294505119668904,2.983659879476329,1,1,1,1,3.1069775586780364,0.921973184376829,1,1,2,0,80.07197,55.642788,1,2,3,1
Nantes,-0.903339459557295,-0.3128614816618083,0,0,0,3,-0.991642806709434,0.6266309404726819,0,0,3,2,10.555966,12.179278,0,0,2,2
Nice,0.32668440238616503,0.9311768225808404,0,0,0,3,0.8393874479315282,-0.15123220164503015,0,0,1,1,37.052567,33.883034,1,2,0,4
Rennes,0.5960330462492253,0.5840440189456207,0,0,0,3,0.33984328841376316,0.034811867982253386,0,0,1,1,56.048206,42.39928,1,2,0,4
Strasbourg,-1.019035144499421,-1.0652036174350044,0,2,2,0,-1.2715766940395588,0.3186283513572527,0,0,3,2,-40.10608,8.806177,0,1,1,0
Angers,-2.197240270299144,0.09949295800878746,0,0,3,2,-0.9380620068521878,1.9509788461247255,0,0,0,3,-15.251198,-22.176208,0,0,2,2
Bordeaux,1.0980339238884338,0.009905610047658674,0,0,0,3,0.3789859666351216,-0.905995257028872,0,0,1,1,50.79327,26.217966,1,2,0,4
Dijon,0.1952646561290538,-0.4161729008792033,0,0,0,3,-0.01909014982590939,-0.38264148700348527,0,0,1,1,-5.249022,16.23969,0,0,2,2
Metz,0.438810302265304,-2.266026238955237,0,2,2,0,-2.1189896268167048,-0.981737209260985,0,2,3,2,-85.50036,8.116557,0,1,1,0
Saint-Etienne,-0.4411905918690271,-0.22812394617251144,0,0,0,3,-0.21167290776499556,0.17464319975961765,0,0,1,1,12.944272,-13.754047,0,0,2,2
Lille,0.5350969541629892,-1.1385451955245813,0,2,2,0,-0.9022914949592219,-0.8207730372685311,0,2,3,2,-61.080753,6.100996,0,1,1,0
Caen,-0.09481969103376059,-2.3413421647018198,0,2,2,0,-2.1037331654205524,-1.1401046104740744,0,2,3,2,-65.7691,46.181664,0,1,1,3
Toulouse,-0.764798801532508,-1.5564524766087091,0,2,2,0,-1.6640166509820267,-0.11823828689918815,0,2,3,2,-52.593052,19.838388,0,1,1,0
Montpellier,-2.831283540589018,0.8907692065976267,0,0,3,2,-0.669034232091522,2.894256451828537,0,0,0,3,-9.060562,-38.180286,0,0,2,2
Guingamp,-0.6583932959064471,-0.022401462585486018,0,0,0,3,-0.25021054355419453,0.46249875618960656,0,0,1,1,-0.2966245,-1.8967881,0,0,2,2
Amiens SC,-0.46133751921100047,-1.432642349403575,0,2,2,0,-1.2962538878075807,-0.29060811411036047,0,2,3,2,-50.223976,52.35463,0,1,1,3