Nationality,wiId,Name,homeGoals,awayGoals,gameweek0,gameweek1,gameweek2,gameweek3,gameweek4,gameweek5,gameweek6,gameweek7,gameweek8,gameweek9,gameweek10,gameweek11,gameweek12,gameweek13,gameweek14,gameweek15,gameweek16,gameweek17,gameweek18,gameweek19,gameweek20,gameweek21,gameweek22,gameweek23,gameweek24,gameweek25,gameweek26,gameweek27,gameweek28,gameweek29,gameweek30,gameweek31,gameweek32,gameweek33,gamesweekScore0,gamesweekScore1,gamesweekScore2,gamesweekScore3,gamesweekScore4,gamesweekScore5,gamesweekScore6,gamesweekScore7,gamesweekScore8,gamesweekScore9,gamesweekScore10,gamesweekScore11,gamesweekScore12,gamesweekScore13,gamesweekScore14,gamesweekScore15,gamesweekScore16,gamesweekScore17,gamesweekScore18,gamesweekScore19,gamesweekScore20,gamesweekScore21,gamesweekScore22,gamesweekScore23,gamesweekScore24,gamesweekScore25,gamesweekScore26,gamesweekScore27,gamesweekScore28,gamesweekScore29,gamesweekScore30,gamesweekScore31,gamesweekScore32,gamesweekScore33
DEU,2454,Borussia M'gladbach,28,19,1,0,-1,0,1,-1,1,1,-1,1,0,1,1,-1,0,-1,1,-1,1,-1,-1,-1,-1,1,0,-1,0,0,1,-1,1,0,1,-1,0.5232558139534883,0.20348837209302328,0.029069767441860468,0.058139534883720936,0.31976744186046513,0.31976744186046513,0.058139534883720936,0.436046511627907,0.14534883720930233,0.6686046511627908,0.0,0.37790697674418605,0.0,0.40697674418604657,0.17441860465116277,0.08720930232558138,0.7267441860465116,0.26162790697674415,0.20348837209302328,0.11627906976744187,0.0,0.14534883720930233,0.37790697674418605,0.17441860465116277,0.14534883720930233,0.0,0.6104651162790697,0.0,0.37790697674418605,0.08720930232558138,0.37790697674418605,0.29069767441860467,0.4941860465116279,0.17441860465116277
DEU,2443,Werder Bremen,20,17,-1,-1,0,-1,0,0,0,-1,0,-1,-1,1,-1,1,1,-1,0,0,-1,0,1,1,-1,1,0,1,1,1,-1,0,-1,0,0,1,0.11627906976744187,0.11627906976744187,0.14534883720930233,0.029069767441860468,0.23255813953488375,0.26162790697674415,0.11627906976744187,0.058139534883720936,0.0,0.058139534883720936,0.23255813953488375,0.7267441860465116,0.11627906976744187,0.17441860465116282,0.4651162790697675,0.0,0.23255813953488375,0.23255813953488375,0.436046511627907,0.31976744186046513,0.11627906976744187,0.4941860465116279,0.058139534883720936,0.08720930232558138,0.34883720930232553,0.7267441860465116,0.7558139534883721,0.08720930232558138,0.08720930232558138,0.11627906976744187,0.17441860465116277,0.08720930232558138,0.0,0.23255813953488375
DEU,2446,Bayer Leverkusen,29,29,-1,0,-1,1,-1,1,0,0,1,1,0,0,1,0,1,1,0,-1,1,1,0,-1,1,-1,1,1,-1,0,1,1,-1,-1,0,1,0.29069767441860467,0.0,0.17441860465116277,0.4941860465116279,0.34883720930232553,0.6395348837209303,0.26162790697674415,0.6976744186046511,0.5523255813953488,0.6104651162790697,0.14534883720930233,0.08720930232558138,0.14534883720930233,0.14534883720930233,0.34883720930232553,0.29069767441860467,0.6395348837209303,0.0,0.7848837209302326,0.23255813953488375,0.14534883720930233,0.17441860465116277,0.5523255813953488,0.20348837209302328,0.23255813953488375,0.4941860465116279,0.0,0.029069767441860468,0.6395348837209303,0.37790697674418605,0.058139534883720936,0.11627906976744187,0.0,0.6976744186046511
DEU,2447,Borussia Dortmund,40,24,1,1,0,1,1,1,1,-1,0,-1,-1,-1,0,0,-1,1,1,0,0,0,1,1,1,0,0,1,1,-1,1,-1,1,0,-1,-1,0.6395348837209303,0.40697674418604657,0.14534883720930233,0.7267441860465116,0.436046511627907,0.7558139534883721,0.7848837209302326,0.11627906976744187,0.2906976744186046,0.20348837209302328,0.11627906976744187,0.40697674418604657,0.14534883720930233,0.4069767441860465,0.37790697674418605,0.37790697674418605,0.31976744186046513,0.29069767441860467,0.37790697674418605,0.14534883720930233,0.6104651162790697,0.436046511627907,0.26162790697674415,0.11627906976744187,0.17441860465116277,0.34883720930232553,0.17441860465116277,0.26162790697674415,0.6686046511627908,0.17441860465116277,1.1046511627906976,0.37790697674418605,0.26162790697674415,0.436046511627907
DEU,2444,Bayern M?nchen,56,36,1,1,-1,1,1,0,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,-1,0.5232558139534883,0.7848837209302326,0.08720930232558138,1.3081395348837208,0.7848837209302326,0.26162790697674415,0.5813953488372093,0.9302325581395351,0.37790697674418605,0.6104651162790697,0.7848837209302326,0.7558139534883721,0.029069767441860468,0.7848837209302326,0.23255813953488375,0.34883720930232553,0.436046511627907,0.20348837209302328,0.5813953488372093,0.6976744186046513,0.4651162790697675,0.40697674418604657,0.2906976744186046,0.4651162790697675,0.14534883720930233,0.4651162790697675,0.20348837209302328,1.1337209302325582,0.7558139534883721,0.872093023255814,0.7558139534883721,1.017441860465116,0.930232558139535,0.29069767441860467
DEU,2445,Stuttgart,18,18,-1,1,-1,1,-1,0,-1,1,-1,1,-1,1,0,-1,-1,-1,-1,1,-1,-1,0,1,1,1,1,0,1,0,-1,0,1,1,1,1,0.14534883720930233,0.17441860465116282,0.058139534883720936,0.029069767441860468,0.11627906976744187,0.11627906976744187,0.029069767441860468,0.17441860465116277,0.0,0.23255813953488375,0.058139534883720936,0.31976744186046513,0.17441860465116282,0.11627906976744187,0.31976744186046513,0.17441860465116277,0.058139534883720936,0.0,0.23255813953488375,0.029069767441860468,0.26162790697674415,0.058139534883720936,0.17441860465116277,0.26162790697674415,0.14534883720930233,0.0,0.31976744186046513,0.14534883720930233,0.0,0.34883720930232553,0.4941860465116279,0.14534883720930233,0.29069767441860467,0.7848837209302326
DEU,2449,Schalke 04,27,26,1,-1,1,1,-1,-1,0,1,1,0,1,1,0,0,0,1,0,-1,0,1,-1,-1,0,1,1,1,1,1,0,1,0,0,1,1,0.34883720930232553,0.0,0.31976744186046513,0.11627906976744187,0.17441860465116282,0.14534883720930233,0.17441860465116277,0.29069767441860467,0.37790697674418605,0.23255813953488375,0.31976744186046513,0.37790697674418605,0.5813953488372093,0.5523255813953488,0.43604651162790703,0.26162790697674415,0.17441860465116277,0.14534883720930233,0.29069767441860467,0.31976744186046513,0.29069767441860467,0.23255813953488375,0.40697674418604657,0.17441860465116277,0.34883720930232553,0.23255813953488375,0.14534883720930233,0.436046511627907,0.058139534883720936,0.26162790697674415,0.5813953488372093,0.08720930232558138,0.34883720930232565,0.11627906976744187
DEU,2455,Hannover 96,28,16,1,1,0,1,0,0,-1,-1,1,1,-1,-1,0,-1,1,-1,0,1,0,-1,0,1,0,-1,-1,-1,-1,-1,1,0,-1,-1,1,-1,0.34883720930232553,0.029069767441860468,0.0,0.14534883720930233,0.029069767441860468,0.0,0.11627906976744187,0.0,0.058139534883720936,0.26162790697674415,0.058139534883720936,0.058139534883720936,0.058139534883720936,0.08720930232558138,0.0,0.08720930232558138,0.5523255813953488,0.29069767441860467,0.029069767441860468,0.0,0.26162790697674415,0.436046511627907,0.26162790697674415,0.058139534883720936,0.0,0.0,0.0,0.20348837209302328,0.31976744186046513,0.14534883720930233,0.029069767441860468,0.0,0.5232558139534883,0.29069767441860467
DEU,2457,Hertha BSC,23,20,1,-1,0,0,1,-1,0,-1,0,1,0,-1,1,-1,0,1,1,-1,0,0,0,1,-1,0,-1,0,1,0,-1,1,1,0,-1,-1,0.34883720930232553,0.058139534883720936,0.0,0.23255813953488375,0.31976744186046513,0.0,0.20348837209302328,0.0,0.0,0.20348837209302328,0.40697674418604657,0.6104651162790697,0.23255813953488375,0.26162790697674415,0.058139534883720936,0.6104651162790697,0.5232558139534883,0.058139534883720936,0.20348837209302328,0.26162790697674415,0.31976744186046513,0.34883720930232553,0.0,0.20348837209302328,0.17441860465116277,0.14534883720930233,0.5232558139534883,0.14534883720930233,0.0,0.6104651162790697,0.31976744186046513,0.20348837209302328,0.08720930232558138,0.14534883720930233
DEU,2451,Wolfsburg,23,13,-1,1,0,-1,0,0,0,0,0,0,0,1,-1,1,0,0,-1,0,-1,1,0,-1,-1,0,-1,-1,-1,0,1,0,-1,-1,-1,1,0.058139534883720936,0.4941860465116279,0.4651162790697675,0.08720930232558138,0.34883720930232553,0.34883720930232553,0.029069767441860468,0.29069767441860467,0.20348837209302328,0.08720930232558138,0.436046511627907,0.7267441860465116,0.26162790697674415,0.5523255813953488,0.0,0.31976744186046513,0.23255813953488375,0.20348837209302328,0.0,0.0,0.20348837209302328,0.11627906976744187,0.08720930232558138,0.20348837209302328,0.058139534883720936,0.0,0.029069767441860468,0.058139534883720936,0.14534883720930233,0.14534883720930233,0.08720930232558138,0.0,0.29069767441860467,0.40697674418604657
DEU,2450,Hamburger SV,17,12,1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1,0,0,-1,1,1,-1,1,0.26162790697674415,0.058139534883720936,0.0,0.08720930232558138,0.0,0.0,0.20348837209302328,0.029069767441860468,0.08720930232558138,0.20348837209302328,0.37790697674418605,0.08720930232558138,0.20348837209302328,0.14534883720930233,0.11627906976744187,0.08720930232558138,0.0,0.11627906976744187,0.0,0.37790697674418605,0.0,0.0,0.058139534883720936,0.0,0.0,0.0,0.17441860465116277,0.37790697674418605,0.23255813953488375,0.08720930232558138,0.11627906976744187,0.26162790697674415,0.14534883720930233,0.34883720930232553
DEU,2453,Freiburg,17,15,0,-1,0,-1,0,0,1,-1,0,-1,-1,-1,1,0,1,1,0,0,1,0,0,-1,1,0,-1,0,-1,-1,-1,-1,-1,1,-1,1,0.058139534883720936,0.23255813953488375,0.0,0.0,0.11627906976744187,0.26162790697674415,0.6104651162790697,0.08720930232558138,0.34883720930232553,0.0,0.0,0.20348837209302328,0.31976744186046513,0.0,0.29069767441860467,0.029069767441860468,0.5813953488372093,0.11627906976744187,0.20348837209302328,0.40697674418604657,0.14534883720930233,0.029069767441860468,0.08720930232558138,0.14534883720930233,0.029069767441860468,0.058139534883720936,0.0,0.0,0.029069767441860468,0.0,0.17441860465116277,0.4941860465116279,0.029069767441860468,0.37790697674418605
DEU,2482,Hoffenheim,38,28,1,0,1,0,1,1,-1,0,0,-1,1,0,-1,1,-1,1,-1,0,-1,-1,0,1,0,0,1,1,0,1,0,1,1,1,-1,1,0.14534883720930233,0.11627906976744187,0.436046511627907,0.058139534883720936,0.4651162790697675,0.5523255813953488,0.0,0.37790697674418605,0.20348837209302328,0.08720930232558138,0.6686046511627908,0.5523255813953488,0.11627906976744187,0.5232558139534883,0.0,0.26162790697674415,0.4941860465116279,0.058139534883720936,0.23255813953488375,0.11627906976744187,0.14534883720930233,0.40697674418604657,0.26162790697674415,0.23255813953488375,0.6104651162790697,0.436046511627907,0.37790697674418605,0.7558139534883721,0.31976744186046513,0.436046511627907,0.6976744186046511,0.4941860465116279,0.08720930232558138,0.6104651162790697
DEU,2481,Augsburg,24,19,-1,0,1,1,1,0,-1,0,-1,1,0,-1,1,1,0,-1,0,1,-1,0,1,-1,-1,0,-1,1,-1,0,-1,0,1,0,-1,-1,0.0,0.5232558139534883,0.29069767441860467,0.31976744186046513,0.34883720930232553,0.14534883720930233,0.14534883720930233,0.31976744186046513,0.058139534883720936,0.4941860465116279,0.029069767441860468,0.08720930232558138,0.4941860465116279,0.26162790697674415,0.0,0.058139534883720936,0.29069767441860467,0.40697674418604657,0.0,0.058139534883720936,0.11627906976744187,0.0,0.0,0.17441860465116277,0.0,0.5232558139534883,0.23255813953488375,0.08720930232558138,0.0,0.029069767441860468,0.6104651162790697,0.058139534883720936,0.058139534883720936,0.0
DEU,2460,Mainz 05,22,16,-1,-1,1,-1,-1,1,0,1,-1,0,0,1,-1,-1,0,-1,0,-1,1,-1,-1,-1,1,0,0,-1,-1,0,0,1,-1,1,1,-1,0.11627906976744187,0.029069767441860468,0.34883720930232553,0.08720930232558138,0.34883720930232553,0.058139534883720936,0.17441860465116277,0.6104651162790697,0.058139534883720936,0.058139534883720936,0.26162790697674415,0.0,0.08720930232558138,0.11627906976744187,0.34883720930232553,0.0,0.11627906976744187,0.11627906976744187,0.37790697674418605,0.058139534883720936,0.0,0.0,0.26162790697674415,0.20348837209302328,0.20348837209302328,0.23255813953488375,0.08720930232558138,0.23255813953488375,0.058139534883720936,0.20348837209302328,0.08720930232558138,0.26162790697674415,0.40697674418604657,0.058139534883720936
DEU,2462,Eintracht Frankfurt,26,19,0,-1,1,-1,1,-1,1,1,0,0,1,0,-1,1,-1,1,0,0,1,1,-1,1,1,-1,1,-1,1,-1,0,-1,-1,-1,1,-1,0.058139534883720936,0.08720930232558138,0.31976744186046513,0.23255813953488375,0.0,0.26162790697674415,0.14534883720930233,0.436046511627907,0.37790697674418605,0.08720930232558138,0.40697674418604657,0.0,0.08720930232558138,0.17441860465116277,0.058139534883720936,0.436046511627907,0.4651162790697675,0.29069767441860467,0.34883720930232553,0.31976744186046513,0.08720930232558138,0.5523255813953488,0.26162790697674415,0.0,0.29069767441860467,0.029069767441860468,0.5232558139534883,0.31976744186046513,0.40697674418604657,0.23255813953488375,0.0,0.14534883720930233,0.5232558139534883,0.0
DEU,2463,K?ln,20,15,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,1,1,1,0,-1,-1,0,1,-1,-1,1,-1,0,-1,0,-1,-1,-1,0.11627906976744187,0.26162790697674415,0.11627906976744187,0.029069767441860468,0.14534883720930233,0.11627906976744187,0.31976744186046513,0.14534883720930233,0.23255813953488375,0.029069767441860468,0.029069767441860468,0.0,0.08720930232558138,0.37790697674418605,0.11627906976744187,0.14534883720930233,0.5523255813953488,0.14534883720930233,0.37790697674418605,0.17441860465116277,0.0,0.058139534883720936,0.0,0.29069767441860467,0.17441860465116277,0.23255813953488375,0.17441860465116277,0.0,0.29069767441860467,0.0,0.14534883720930233,0.20348837209302328,0.029069767441860468,0.0
DEU,2975,RB Leipzig,34,23,-1,1,1,0,-1,1,1,1,1,-1,1,0,1,-1,0,0,-1,1,-1,0,1,1,-1,-1,0,0,1,1,-1,0,-1,-1,1,1,0.058139534883720936,0.6976744186046511,0.08720930232558138,0.26162790697674415,0.11627906976744187,0.20348837209302328,0.6686046511627908,0.29069767441860467,0.17441860465116277,0.0,0.436046511627907,0.058139534883720936,0.31976744186046513,0.20348837209302328,0.40697674418604657,0.34883720930232553,0.4941860465116279,0.7267441860465116,0.34883720930232553,0.34883720930232553,0.34883720930232553,0.4941860465116279,0.0,0.17441860465116277,0.11627906976744187,0.0,0.37790697674418605,0.436046511627907,0.29069767441860467,0.34883720930232553,0.4941860465116279,0.0,0.7267441860465116,0.7267441860465116
