MatchDay,Newcastle United,Huddersfield Town,Swansea City,AFC Bournemouth,Brighton & Hove Albion,Burnley,Leicester City,West Ham United,Stoke City,Watford,Everton,West Bromwich Albion,Manchester City,Tottenham Hotspur,Crystal Palace,Southampton,Liverpool,Chelsea,Manchester United,Arsenal,Wales
gameWeek-0,0.029069767441860468,0.4651162790697675,0.0,0.058139534883720936,0.058139534883720936,0.5813953488372093,0.4651162790697675,0.029069767441860468,0.029069767441860468,0.11627906976744187,0.29069767441860467,0.17441860465116282,0.40697674418604657,0.6686046511627908,0.029069767441860468,0.029069767441860468,0.5232558139534883,0.029069767441860468,0.6104651162790697,1.0465116279069766,
gameWeek-1,0.11627906976744187,0.31976744186046513,0.0,0.029069767441860468,0.058139534883720936,0.0,0.058139534883720936,0.0,0.37790697674418605,0.17441860465116277,0.14534883720930233,0.058139534883720936,0.2616279069767442,0.11627906976744187,0.0,0.26162790697674415,0.4941860465116279,0.20348837209302326,0.5232558139534883,0.6104651162790697,
gameWeek-2,0.5523255813953488,0.0,0.20348837209302328,0.20348837209302328,0.058139534883720936,0.26162790697674415,0.20348837209302328,0.14534883720930233,0.37790697674418605,0.0,0.11627906976744187,0.0,0.5232558139534883,0.26162790697674415,0.08720930232558138,0.20348837209302328,0.7267441860465116,0.7558139534883721,0.34883720930232553,0.0,
gameWeek-3,0.34883720930232553,0.11627906976744187,0.0,0.0,0.4941860465116279,0.08720930232558138,0.029069767441860468,0.0,0.14534883720930233,0.37790697674418605,0.029069767441860468,0.26162790697674415,1.1627906976744187,0.40697674418604657,0.14534883720930233,0.0,0.029069767441860468,0.5523255813953488,0.49418604651162784,0.872093023255814,
gameWeek-4,0.17441860465116277,0.20348837209302328,0.0,0.6104651162790697,0.37790697674418605,0.23255813953488375,0.08720930232558138,0.0,0.029069767441860468,0.0,0.058139534883720936,0.08720930232558138,1.1046511627906976,0.23255813953488375,0.058139534883720936,0.37790697674418605,0.26162790697674415,0.0,0.6686046511627908,0.058139534883720936,
gameWeek-5,0.058139534883720936,0.14534883720930233,0.0,0.40697674418604657,0.11627906976744187,0.0,0.20348837209302328,0.08720930232558138,0.029069767441860468,0.14534883720930233,0.31976744186046513,0.0,0.9883720930232558,0.31976744186046513,0.058139534883720936,0.08720930232558138,0.37790697674418605,0.5813953488372093,0.2616279069767442,0.34883720930232553,
gameWeek-6,0.34883720930232553,0.0,0.0,0.23255813953488375,0.0,0.14534883720930233,0.08720930232558138,0.17441860465116277,0.029069767441860468,0.0,0.40697674418604657,0.029069767441860468,0.29069767441860467,0.40697674418604657,0.058139534883720936,0.26162790697674415,0.20348837209302328,0.029069767441860468,1.0755813953488371,0.436046511627907,
gameWeek-7,0.23255813953488375,0.14534883720930233,0.058139534883720936,0.029069767441860468,0.17441860465116277,0.11627906976744187,0.058139534883720936,0.17441860465116277,0.0,0.058139534883720936,0.058139534883720936,0.08720930232558138,1.4825581395348837,0.29069767441860467,0.14534883720930233,0.029069767441860468,0.31976744186046513,0.17441860465116282,0.0,0.20348837209302328,
gameWeek-8,0.20348837209302328,0.14534883720930233,0.0,0.37790697674418605,0.29069767441860467,0.0,0.23255813953488375,0.14534883720930233,0.08720930232558138,0.0,0.20348837209302326,0.0,0.8139534883720931,0.5813953488372093,0.17441860465116277,0.08720930232558138,0.26162790697674415,0.4941860465116279,0.4651162790697675,0.6104651162790697,
gameWeek-9,0.29069767441860467,0.029069767441860468,0.029069767441860468,0.11627906976744187,0.0,0.08720930232558138,0.14534883720930233,0.08720930232558138,0.23255813953488375,0.11627906976744187,0.029069767441860468,0.17441860465116277,0.8139534883720931,0.26162790697674415,0.34883720930232565,0.0,0.34883720930232553,0.37790697674418605,0.17441860465116277,0.37790697674418605,
gameWeek-10,0.058139534883720936,0.029069767441860468,0.0,0.26162790697674415,0.29069767441860467,0.20348837209302328,0.20348837209302326,0.0,0.26162790697674415,0.20348837209302328,0.20348837209302328,0.0,0.6976744186046513,0.20348837209302328,0.20348837209302326,0.029069767441860468,0.6686046511627908,0.4941860465116279,0.0,0.14534883720930233,
gameWeek-11,0.31976744186046513,0.058139534883720936,0.029069767441860468,0.26162790697674415,0.11627906976744187,0.6395348837209303,0.029069767441860468,0.029069767441860468,0.08720930232558138,0.436046511627907,0.43604651162790703,0.08720930232558138,0.6686046511627908,0.17441860465116277,0.20348837209302328,0.0,0.37790697674418605,0.4941860465116279,0.9593023255813952,0.058139534883720936,
gameWeek-12,0.17441860465116277,0.0,0.0,0.26162790697674415,0.029069767441860468,0.029069767441860468,0.2906976744186046,0.0,0.08720930232558138,0.29069767441860467,0.31976744186046513,0.20348837209302328,0.31976744186046513,0.436046511627907,0.37790697674418605,0.5523255813953488,0.37790697674418605,0.23255813953488375,0.058139534883720936,0.08720930232558138,
gameWeek-13,0.11627906976744187,0.08720930232558138,0.0,0.0,0.058139534883720936,0.14534883720930233,0.6395348837209303,0.029069767441860468,0.14534883720930233,0.0,0.14534883720930233,0.40697674418604657,0.6976744186046511,0.26162790697674415,0.26162790697674415,0.029069767441860468,0.7267441860465116,0.40697674418604657,0.5813953488372093,0.9883720930232558,
gameWeek-14,0.058139534883720936,0.029069767441860468,0.14534883720930233,0.34883720930232553,0.0,0.08720930232558138,0.08720930232558138,0.436046511627907,0.49418604651162784,0.11627906976744187,0.23255813953488375,0.029069767441860468,0.6395348837209303,0.0,0.20348837209302328,0.08720930232558138,0.37790697674418605,0.5232558139534883,0.930232558139535,0.6686046511627908,
gameWeek-15,0.14534883720930233,0.17441860465116277,0.0,0.34883720930232553,0.058139534883720936,0.08720930232558138,0.34883720930232553,0.11627906976744187,0.26162790697674415,0.0,0.029069767441860468,0.14534883720930233,0.4651162790697675,0.930232558139535,0.08720930232558138,0.17441860465116277,0.08720930232558138,0.29069767441860467,0.31976744186046513,0.23255813953488375,
gameWeek-16,0.0,0.23255813953488375,0.0,0.31976744186046513,0.14534883720930233,0.08720930232558138,0.6976744186046511,0.0,0.26162790697674415,0.0,0.37790697674418605,0.20348837209302328,0.9011627906976745,0.31976744186046513,0.26162790697674415,0.08720930232558138,0.11627906976744187,0.34883720930232553,0.31976744186046513,0.08720930232558138,
gameWeek-17,0.23255813953488375,0.37790697674418605,0.17441860465116277,0.058139534883720936,0.0,0.14534883720930233,0.058139534883720936,0.5523255813953488,0.14534883720930233,0.029069767441860468,0.26162790697674415,0.17441860465116277,0.6104651162790697,0.058139534883720936,0.4651162790697675,0.11627906976744187,0.436046511627907,0.6395348837209303,0.5232558139534883,0.34883720930232553,
gameWeek-18,0.6395348837209303,0.29069767441860467,0.08720930232558138,0.0,0.11627906976744187,0.029069767441860468,0.20348837209302328,0.058139534883720936,0.43604651162790703,0.0,0.14534883720930233,0.029069767441860468,0.9883720930232557,0.5813953488372093,0.26162790697674415,0.40697674418604657,0.37790697674418605,0.11627906976744187,0.6104651162790697,0.40697674418604657,
gameWeek-19,0.11627906976744187,0.26162790697674415,0.058139534883720936,0.26162790697674415,0.0,0.20348837209302328,0.14534883720930233,0.2616279069767442,0.4651162790697675,0.0,0.058139534883720936,0.0,0.5813953488372092,0.872093023255814,0.37790697674418605,0.08720930232558138,0.4651162790697675,0.4941860465116279,0.34883720930232565,0.5232558139534883,
gameWeek-20,0.0,0.029069767441860468,0.26162790697674415,0.34883720930232553,0.14534883720930233,0.0,0.11627906976744187,0.029069767441860468,0.058139534883720936,0.11627906976744187,0.26162790697674415,0.029069767441860468,0.436046511627907,0.17441860465116277,0.058139534883720936,0.11627906976744187,0.29069767441860467,0.4941860465116279,0.058139534883720936,0.14534883720930233,
gameWeek-21,0.31976744186046513,0.058139534883720936,0.0,0.37790697674418605,0.5232558139534883,0.058139534883720936,0.20348837209302328,0.43604651162790703,0.029069767441860468,0.26162790697674415,0.029069767441860468,0.029069767441860468,0.6395348837209303,0.11627906976744187,0.40697674418604657,0.14534883720930233,0.11627906976744187,0.40697674418604657,0.6104651162790697,0.23255813953488375,
gameWeek-22,0.14534883720930233,0.058139534883720936,0.0,0.436046511627907,0.0,0.0,0.20348837209302328,0.5523255813953488,0.17441860465116277,0.31976744186046513,0.029069767441860468,0.14534883720930233,0.31976744186046513,0.9011627906976745,0.14534883720930233,0.058139534883720936,0.5813953488372093,0.23255813953488375,0.8430232558139534,0.26162790697674415,
gameWeek-23,0.4941860465116279,0.0,0.058139534883720936,0.20348837209302328,0.0,0.029069767441860468,0.23255813953488375,0.029069767441860468,0.23255813953488375,0.11627906976744187,0.2906976744186046,0.029069767441860468,0.7267441860465116,0.058139534883720936,0.436046511627907,0.14534883720930233,0.40697674418604657,0.40697674418604657,0.29069767441860467,1.017441860465116,
gameWeek-24,0.26162790697674415,0.0,0.058139534883720936,0.6104651162790697,0.058139534883720936,0.0,0.0,0.058139534883720936,0.26162790697674415,0.0,0.37790697674418605,0.058139534883720936,0.9593023255813955,0.29069767441860467,0.31976744186046513,0.0,0.20348837209302328,0.17441860465116277,0.08720930232558138,0.26162790697674415,
gameWeek-25,0.49418604651162784,0.0,0.0,0.34883720930232553,0.20348837209302328,0.11627906976744187,0.14534883720930233,0.029069767441860468,0.34883720930232565,0.29069767441860467,0.11627906976744187,0.14534883720930233,0.6395348837209303,0.029069767441860468,0.14534883720930233,0.14534883720930233,0.17441860465116282,0.14534883720930233,0.40697674418604657,0.7558139534883721,
gameWeek-26,0.40697674418604657,0.40697674418604657,0.17441860465116277,0.029069767441860468,0.6104651162790697,0.0,0.14534883720930233,0.4651162790697675,0.17441860465116277,0.0,0.20348837209302328,0.14534883720930233,0.9011627906976745,0.20348837209302328,0.17441860465116277,0.08720930232558138,0.5813953488372093,0.4941860465116279,0.34883720930232553,0.0,
gameWeek-27,0.20348837209302328,0.5813953488372093,0.0,0.34883720930232553,0.6686046511627908,0.08720930232558138,0.058139534883720936,0.11627906976744187,0.0,0.436046511627907,0.058139534883720936,0.14534883720930233,0.8430232558139537,0.17441860465116277,0.23255813953488375,0.08720930232558138,0.8430232558139534,0.34883720930232553,0.4651162790697675,0.058139534883720936,
gameWeek-28,0.20348837209302326,0.17441860465116277,0.029069767441860468,0.14534883720930233,0.5232558139534883,0.40697674418604657,0.08720930232558138,0.029069767441860468,0.23255813953488375,0.23255813953488375,0.37790697674418605,0.0,0.6104651162790697,0.6104651162790697,0.40697674418604657,0.0,0.43604651162790703,0.11627906976744187,0.5232558139534883,0.31976744186046513,
gameWeek-29,0.31976744186046513,0.0,0.08720930232558138,0.14534883720930233,0.029069767441860468,0.5232558139534883,0.5232558139534883,0.0,0.029069767441860468,0.0,0.20348837209302328,0.26162790697674415,0.930232558139535,0.6976744186046511,0.17441860465116282,0.0,0.058139534883720936,0.6104651162790697,0.4651162790697675,0.6395348837209303,
gameWeek-30,0.14534883720930233,0.029069767441860468,0.0,0.26162790697674415,0.17441860465116277,0.029069767441860468,0.5523255813953488,0.11627906976744187,0.0,0.0,0.4941860465116279,0.058139534883720936,0.7848837209302326,0.29069767441860467,0.29069767441860467,0.6104651162790697,0.6395348837209303,0.5523255813953488,0.29069767441860467,0.29069767441860467,
gameWeek-31,0.436046511627907,0.058139534883720936,0.0,0.29069767441860467,0.0,0.37790697674418605,0.43604651162790703,0.5232558139534883,0.11627906976744187,0.29069767441860467,0.11627906976744187,0.029069767441860468,0.872093023255814,0.40697674418604657,0.29069767441860467,0.0,0.6104651162790697,0.34883720930232553,0.40697674418604657,0.29069767441860467,
gameWeek-32,0.6976744186046511,0.029069767441860468,0.0,0.08720930232558138,0.14534883720930233,0.17441860465116277,0.11627906976744187,0.14534883720930233,0.20348837209302328,0.17441860465116277,0.14534883720930233,0.17441860465116277,0.29069767441860467,0.4941860465116279,0.31976744186046513,0.26162790697674415,0.17441860465116277,0.6104651162790697,0.436046511627907,0.6395348837209303,
gameWeek-33,0.4941860465116279,0.029069767441860468,0.08720930232558138,0.029069767441860468,0.029069767441860468,0.11627906976744187,0.2616279069767442,0.40697674418604657,0.31976744186046513,0.058139534883720936,0.17441860465116277,0.23255813953488375,0.5232558139534883,0.0,0.43604651162790703,0.23255813953488375,0.6104651162790697,0.4651162790697675,0.20348837209302328,0.20348837209302328,
gameWeek-34,0.17441860465116277,0.23255813953488375,0.0,0.17441860465116277,0.20348837209302328,0.029069767441860468,0.058139534883720936,0.14534883720930233,0.20348837209302328,0.029069767441860468,0.029069767441860468,0.058139534883720936,0.872093023255814,0.23255813953488375,0.029069767441860468,0.11627906976744187,0.31976744186046513,0.08720930232558138,0.6104651162790697,0.6395348837209303,
gameWeek-35,0.0,0.11627906976744187,0.0,0.29069767441860467,0.08720930232558138,0.0,0.0,0.0,0.058139534883720936,0.20348837209302328,0.31976744186046513,0.31976744186046513,0.8139534883720931,0.4651162790697675,0.7848837209302326,0.31976744186046513,0.0,0.49418604651162784,0.11627906976744187,0.34883720930232553,
gameWeek-36,0.029069767441860468,0.20348837209302328,0.0,0.26162790697674415,0.20348837209302328,0.14534883720930233,0.17441860465116277,0.17441860465116282,0.0,0.5232558139534883,0.23255813953488375,0.08720930232558138,0.029069767441860468,0.26162790697674415,0.2906976744186046,0.26162790697674415,0.11627906976744187,0.5232558139534883,0.23255813953488375,0.930232558139535,
gameWeek-37,0.17441860465116277,0.0,0.0,0.34883720930232553,0.08720930232558138,0.14534883720930233,0.4069767441860465,0.34883720930232553,0.40697674418604657,0.08720930232558138,0.34883720930232553,0.08720930232558138,0.49418604651162784,0.5523255813953488,0.40697674418604657,0.0,1.1337209302325582,0.31976744186046513,0.14534883720930233,0.40697674418604657,
