MatchDay,Borussia M'gladbach,Werder Bremen,Bayer Leverkusen,Borussia Dortmund,Bayern M?nchen,Stuttgart,Schalke 04,Hannover 96,Hertha BSC,Wolfsburg,Hamburger SV,Freiburg,Hoffenheim,Augsburg,Mainz 05,Eintracht Frankfurt,K?ln,RB Leipzig
gameWeek-0,0.5232558139534883,0.11627906976744187,0.29069767441860467,0.6395348837209303,0.5232558139534883,0.14534883720930233,0.34883720930232553,0.34883720930232553,0.34883720930232553,0.058139534883720936,0.26162790697674415,0.058139534883720936,0.14534883720930233,0.0,0.11627906976744187,0.058139534883720936,0.11627906976744187,0.058139534883720936
gameWeek-1,0.20348837209302328,0.11627906976744187,0.0,0.40697674418604657,0.7848837209302326,0.17441860465116282,0.0,0.029069767441860468,0.058139534883720936,0.4941860465116279,0.058139534883720936,0.23255813953488375,0.11627906976744187,0.5232558139534883,0.029069767441860468,0.08720930232558138,0.26162790697674415,0.6976744186046511
gameWeek-2,0.029069767441860468,0.14534883720930233,0.17441860465116277,0.14534883720930233,0.08720930232558138,0.058139534883720936,0.31976744186046513,0.0,0.0,0.4651162790697675,0.0,0.0,0.436046511627907,0.29069767441860467,0.34883720930232553,0.31976744186046513,0.11627906976744187,0.08720930232558138
gameWeek-3,0.058139534883720936,0.029069767441860468,0.4941860465116279,0.7267441860465116,1.3081395348837208,0.029069767441860468,0.11627906976744187,0.14534883720930233,0.23255813953488375,0.08720930232558138,0.08720930232558138,0.0,0.058139534883720936,0.31976744186046513,0.08720930232558138,0.23255813953488375,0.029069767441860468,0.26162790697674415
gameWeek-4,0.31976744186046513,0.23255813953488375,0.34883720930232553,0.436046511627907,0.7848837209302326,0.11627906976744187,0.17441860465116282,0.029069767441860468,0.31976744186046513,0.34883720930232553,0.0,0.11627906976744187,0.4651162790697675,0.34883720930232553,0.34883720930232553,0.0,0.14534883720930233,0.11627906976744187
gameWeek-5,0.31976744186046513,0.26162790697674415,0.6395348837209303,0.7558139534883721,0.26162790697674415,0.11627906976744187,0.14534883720930233,0.0,0.0,0.34883720930232553,0.0,0.26162790697674415,0.5523255813953488,0.14534883720930233,0.058139534883720936,0.26162790697674415,0.11627906976744187,0.20348837209302328
gameWeek-6,0.058139534883720936,0.11627906976744187,0.26162790697674415,0.7848837209302326,0.5813953488372093,0.029069767441860468,0.17441860465116277,0.11627906976744187,0.20348837209302328,0.029069767441860468,0.20348837209302328,0.6104651162790697,0.0,0.14534883720930233,0.17441860465116277,0.14534883720930233,0.31976744186046513,0.6686046511627908
gameWeek-7,0.436046511627907,0.058139534883720936,0.6976744186046511,0.11627906976744187,0.9302325581395351,0.17441860465116277,0.29069767441860467,0.0,0.0,0.29069767441860467,0.029069767441860468,0.08720930232558138,0.37790697674418605,0.31976744186046513,0.6104651162790697,0.436046511627907,0.14534883720930233,0.29069767441860467
gameWeek-8,0.14534883720930233,0.0,0.5523255813953488,0.2906976744186046,0.37790697674418605,0.0,0.37790697674418605,0.058139534883720936,0.0,0.20348837209302328,0.08720930232558138,0.34883720930232553,0.20348837209302328,0.058139534883720936,0.058139534883720936,0.37790697674418605,0.23255813953488375,0.17441860465116277
gameWeek-9,0.6686046511627908,0.058139534883720936,0.6104651162790697,0.20348837209302328,0.6104651162790697,0.23255813953488375,0.23255813953488375,0.26162790697674415,0.20348837209302328,0.08720930232558138,0.20348837209302328,0.0,0.08720930232558138,0.4941860465116279,0.058139534883720936,0.08720930232558138,0.029069767441860468,0.0
gameWeek-10,0.0,0.23255813953488375,0.14534883720930233,0.11627906976744187,0.7848837209302326,0.058139534883720936,0.31976744186046513,0.058139534883720936,0.40697674418604657,0.436046511627907,0.37790697674418605,0.0,0.6686046511627908,0.029069767441860468,0.26162790697674415,0.40697674418604657,0.029069767441860468,0.436046511627907
gameWeek-11,0.37790697674418605,0.7267441860465116,0.08720930232558138,0.40697674418604657,0.7558139534883721,0.31976744186046513,0.37790697674418605,0.058139534883720936,0.6104651162790697,0.7267441860465116,0.08720930232558138,0.20348837209302328,0.5523255813953488,0.08720930232558138,0.0,0.0,0.0,0.058139534883720936
gameWeek-12,0.0,0.11627906976744187,0.14534883720930233,0.14534883720930233,0.029069767441860468,0.17441860465116282,0.5813953488372093,0.058139534883720936,0.23255813953488375,0.26162790697674415,0.20348837209302328,0.31976744186046513,0.11627906976744187,0.4941860465116279,0.08720930232558138,0.08720930232558138,0.08720930232558138,0.31976744186046513
gameWeek-13,0.40697674418604657,0.17441860465116282,0.14534883720930233,0.4069767441860465,0.7848837209302326,0.11627906976744187,0.5523255813953488,0.08720930232558138,0.26162790697674415,0.5523255813953488,0.14534883720930233,0.0,0.5232558139534883,0.26162790697674415,0.11627906976744187,0.17441860465116277,0.37790697674418605,0.20348837209302328
gameWeek-14,0.17441860465116277,0.4651162790697675,0.34883720930232553,0.37790697674418605,0.23255813953488375,0.31976744186046513,0.43604651162790703,0.0,0.058139534883720936,0.0,0.11627906976744187,0.29069767441860467,0.0,0.0,0.34883720930232553,0.058139534883720936,0.11627906976744187,0.40697674418604657
gameWeek-15,0.08720930232558138,0.0,0.29069767441860467,0.37790697674418605,0.34883720930232553,0.17441860465116277,0.26162790697674415,0.08720930232558138,0.6104651162790697,0.31976744186046513,0.08720930232558138,0.029069767441860468,0.26162790697674415,0.058139534883720936,0.0,0.436046511627907,0.14534883720930233,0.34883720930232553
gameWeek-16,0.7267441860465116,0.23255813953488375,0.6395348837209303,0.31976744186046513,0.436046511627907,0.058139534883720936,0.17441860465116277,0.5523255813953488,0.5232558139534883,0.23255813953488375,0.0,0.5813953488372093,0.4941860465116279,0.29069767441860467,0.11627906976744187,0.4651162790697675,0.5523255813953488,0.4941860465116279
gameWeek-17,0.26162790697674415,0.23255813953488375,0.0,0.29069767441860467,0.20348837209302328,0.0,0.14534883720930233,0.29069767441860467,0.058139534883720936,0.20348837209302328,0.11627906976744187,0.11627906976744187,0.058139534883720936,0.40697674418604657,0.11627906976744187,0.29069767441860467,0.14534883720930233,0.7267441860465116
gameWeek-18,0.20348837209302328,0.436046511627907,0.7848837209302326,0.37790697674418605,0.5813953488372093,0.23255813953488375,0.29069767441860467,0.029069767441860468,0.20348837209302328,0.0,0.0,0.20348837209302328,0.23255813953488375,0.0,0.37790697674418605,0.34883720930232553,0.37790697674418605,0.34883720930232553
gameWeek-19,0.11627906976744187,0.31976744186046513,0.23255813953488375,0.14534883720930233,0.6976744186046513,0.029069767441860468,0.31976744186046513,0.0,0.26162790697674415,0.0,0.37790697674418605,0.40697674418604657,0.11627906976744187,0.058139534883720936,0.058139534883720936,0.31976744186046513,0.17441860465116277,0.34883720930232553
gameWeek-20,0.0,0.11627906976744187,0.14534883720930233,0.6104651162790697,0.4651162790697675,0.26162790697674415,0.29069767441860467,0.26162790697674415,0.31976744186046513,0.20348837209302328,0.0,0.14534883720930233,0.14534883720930233,0.11627906976744187,0.0,0.08720930232558138,0.0,0.34883720930232553
gameWeek-21,0.14534883720930233,0.4941860465116279,0.17441860465116277,0.436046511627907,0.40697674418604657,0.058139534883720936,0.23255813953488375,0.436046511627907,0.34883720930232553,0.11627906976744187,0.0,0.029069767441860468,0.40697674418604657,0.0,0.0,0.5523255813953488,0.058139534883720936,0.4941860465116279
gameWeek-22,0.37790697674418605,0.058139534883720936,0.5523255813953488,0.26162790697674415,0.2906976744186046,0.17441860465116277,0.40697674418604657,0.26162790697674415,0.0,0.08720930232558138,0.058139534883720936,0.08720930232558138,0.26162790697674415,0.0,0.26162790697674415,0.26162790697674415,0.0,0.0
gameWeek-23,0.17441860465116277,0.08720930232558138,0.20348837209302328,0.11627906976744187,0.4651162790697675,0.26162790697674415,0.17441860465116277,0.058139534883720936,0.20348837209302328,0.20348837209302328,0.0,0.14534883720930233,0.23255813953488375,0.17441860465116277,0.20348837209302328,0.0,0.29069767441860467,0.17441860465116277
gameWeek-24,0.14534883720930233,0.34883720930232553,0.23255813953488375,0.17441860465116277,0.14534883720930233,0.14534883720930233,0.34883720930232553,0.0,0.17441860465116277,0.058139534883720936,0.0,0.029069767441860468,0.6104651162790697,0.0,0.20348837209302328,0.29069767441860467,0.17441860465116277,0.11627906976744187
gameWeek-25,0.0,0.7267441860465116,0.4941860465116279,0.34883720930232553,0.4651162790697675,0.0,0.23255813953488375,0.0,0.14534883720930233,0.0,0.0,0.058139534883720936,0.436046511627907,0.5232558139534883,0.23255813953488375,0.029069767441860468,0.23255813953488375,0.0
gameWeek-26,0.6104651162790697,0.7558139534883721,0.0,0.17441860465116277,0.20348837209302328,0.31976744186046513,0.14534883720930233,0.0,0.5232558139534883,0.029069767441860468,0.17441860465116277,0.0,0.37790697674418605,0.23255813953488375,0.08720930232558138,0.5232558139534883,0.17441860465116277,0.37790697674418605
gameWeek-27,0.0,0.08720930232558138,0.029069767441860468,0.26162790697674415,1.1337209302325582,0.14534883720930233,0.436046511627907,0.20348837209302328,0.14534883720930233,0.058139534883720936,0.37790697674418605,0.0,0.7558139534883721,0.08720930232558138,0.23255813953488375,0.31976744186046513,0.0,0.436046511627907
gameWeek-28,0.37790697674418605,0.08720930232558138,0.6395348837209303,0.6686046511627908,0.7558139534883721,0.0,0.058139534883720936,0.31976744186046513,0.0,0.14534883720930233,0.23255813953488375,0.029069767441860468,0.31976744186046513,0.0,0.058139534883720936,0.40697674418604657,0.29069767441860467,0.29069767441860467
gameWeek-29,0.08720930232558138,0.11627906976744187,0.37790697674418605,0.17441860465116277,0.872093023255814,0.34883720930232553,0.26162790697674415,0.14534883720930233,0.6104651162790697,0.14534883720930233,0.08720930232558138,0.0,0.436046511627907,0.029069767441860468,0.20348837209302328,0.23255813953488375,0.0,0.34883720930232553
gameWeek-30,0.37790697674418605,0.17441860465116277,0.058139534883720936,1.1046511627906976,0.7558139534883721,0.4941860465116279,0.5813953488372093,0.029069767441860468,0.31976744186046513,0.08720930232558138,0.11627906976744187,0.17441860465116277,0.6976744186046511,0.6104651162790697,0.08720930232558138,0.0,0.14534883720930233,0.4941860465116279
gameWeek-31,0.29069767441860467,0.08720930232558138,0.11627906976744187,0.37790697674418605,1.017441860465116,0.14534883720930233,0.08720930232558138,0.0,0.20348837209302328,0.0,0.26162790697674415,0.4941860465116279,0.4941860465116279,0.058139534883720936,0.26162790697674415,0.14534883720930233,0.20348837209302328,0.0
gameWeek-32,0.4941860465116279,0.0,0.0,0.26162790697674415,0.930232558139535,0.29069767441860467,0.34883720930232565,0.5232558139534883,0.08720930232558138,0.29069767441860467,0.14534883720930233,0.029069767441860468,0.08720930232558138,0.058139534883720936,0.40697674418604657,0.5232558139534883,0.029069767441860468,0.7267441860465116
gameWeek-33,0.17441860465116277,0.23255813953488375,0.6976744186046511,0.436046511627907,0.29069767441860467,0.7848837209302326,0.11627906976744187,0.29069767441860467,0.14534883720930233,0.40697674418604657,0.34883720930232553,0.37790697674418605,0.6104651162790697,0.0,0.058139534883720936,0.0,0.0,0.7267441860465116
